"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Confounded residual",29,0.0628830629050942,0.00150806209313829,0.0296894759891554,0.00224628510849024,0.0331935869159389,0.00187830038052346,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",30,0.0642741496644128,0.00142350571799381,0.0332039982077063,0.00234550836477482,0.0310701514567065,0.00193744363437211,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",31,0.062880407402412,0.00142807048000009,0.0292445547063392,0.00222270027471096,0.0336358526960728,0.00199251533359136,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",32,0.0635369852782107,0.00144063862264182,0.0302133285877028,0.00217010293054539,0.033323656690508,0.00184142317504001,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",33,0.0640028586944862,0.00148039230046756,0.0302289336173548,0.00222937022613537,0.0337739250771314,0.00190990909976429,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",34,0.0638178302520057,0.00146999577424341,0.0322036506329385,0.00214262884417475,0.0316141796190672,0.00173255039272788,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",35,0.0654018867742757,0.0014130604267439,0.0357388878056953,0.00219054023103316,0.0296629989685804,0.00201220879447423,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",36,0.0645756978259586,0.00150785108238912,0.0308709803333513,0.00222046318129409,0.0337047174926072,0.0018017534732516,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",37,0.0638596868357374,0.00138371196199352,0.029541664129117,0.0023313581218572,0.0343180227066203,0.00202216897058181,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",38,0.0633726371790862,0.00149303351702798,0.0354507638268081,0.00227111227094599,0.0279218733522781,0.00191931450697513,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",39,0.0620334016340161,0.00138905298668041,0.0285867142043646,0.00224785929027365,0.0334466874296515,0.0019966591815764,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",40,0.0640454563845336,0.00155674643199309,0.0262768983139423,0.00230067338486895,0.0377685580705913,0.0018896212489008,0.0633,0.03,0.0149,0.0333,0.0184
